name	count
Benjaminsson	902
Benson	264
Bentzer	197
Beqiri	308
Beraki	313
Bereket	207
Berg	19458
Bergander	261
Bergbom	197
Bergdahl	1980
Berge	512
Bergelin	337
Bergendahl	832
Bergendal	275
Bergendorff	281
Bergengren	213
Bergenheim	226
Bergenholtz	287
Bergenstråle	196
Berger	1406
Bergfeldt	503
Bergfors	448
Berggren	10820
Bergh	1766
Bergholm	522
Bergholtz	439
Bergius	438
Bergkvist	3546
Berglin	873
Berglind	1421
Bergling	373
Berglund	18269
Berglöf	458
Bergman	13680
Bergmark	816
Bergner	365
Bergquist	1574
Bergqvist	7852
Bergsman	256
Bergstedt	1286
Bergsten	2382
Bergstrand	2179
Bergström	20257
Bergvall	2272
Bergwall	253
Berhane	810
Berhe	813
Berisa	221
Berisha	1537
Berlin	1675
Berling	309
Bern	299
Berndt	250
Berndtsson	1355
Berner	431
Bernhard	194
Bernhardsson	1666
Bernhardt	179
Bernström	716
Berntsson	4176
Bertilsson	3808
Besic	401
Beskow	336
Bexelius	220
Bexell	368
Beyene	442
Bhatti	180
Bibi	282
Bilal	300
Bill	386
Billberg	367
Billgren	334
Billing	730
Billman	201
Billqvist	186
Billström	452
Birath	512
Birgersson	2022
Bitar	459
Bjelke	254
Bjerke	303
Bjuhr	617
Bjur	187
Bjurling	505
Bjurman	469
Bjursell	204
Bjurström	1073
Björck	1165
Björk	12742
Björkander	329
Björkdahl	567
Björkegren	469
Björkholm	421
Björklind	180
Björklund	10955
Björkman	6623
Björkqvist	956
Björkstrand	257
Björkström	419
Björkén	355
Björlin	499
Björling	1304
Björn	1794
Björnberg	967
Björndahl	357
Björndal	192
Björner	183
Björnfot	669
Björnlund	330
Björnson	245
Björnsson	844
Björnström	577
Blad	1058
Bladh	1310
Bladin	183
Blanck	291
Blank	692
Blick	185
Blid	184
Blidberg	233
Blind	266
Blix	225
Blixt	2794
Block	330
Blohm	259
Blom	8776
Blomberg	5705
Blombäck	241
Blomdahl	931
Blomgren	2979
Blomkvist	2097
Blomquist	1396
Blomqvist	8465
Blomstedt	271
Blomster	633
Blomstrand	750
Blomström	446
Bloom	291
Blücher	284
Boberg	1859
Bock	211
Bodell	283
Bodin	2923
Bodén	1315
Bogdanovic	221
Bogren	1308
Bohlin	2680
Bohm	670
Bohman	1986
Boholm	218
Boija	197
Boije	423
Bojang	309
Boklund	318
Bolander	733
Bolin	2500
Bolinder	555
Bolling	227
Boman	4839
Bonander	193
Bond	315
Bonde	494
Bondeson	196
Bondesson	1294
Bonnevier	512
Bonnier	206
Boo	252
Bood	187
Book	654
Boquist	213
Boqvist	638
Borell	317
Borg	7629
Borggren	428
Borgh	210
Borglin	380
Borglund	494
Borgman	381
Borgqvist	282
Borgström	2582
Borgvall	183
Borin	296
Borén	637
Boskovic	190
Bosnjak	182
Boson	205
Bosson	304
Bostedt	226
Boström	7021
Bothén	188
Bouvin	370
Bovin	291
Bozic	249
Bozkurt	301
Brage	594
Brahimi	304
Brand	303
Brandberg	431
Brandel	182
Brandell	224
Brander	577
Brandin	736
Brandström	293
Brandt	4537
Brandén	195
Branting	255
Brask	414
Bratt	1335
Brattberg	251
Brattström	345
Brauer	215
Braun	538
Bredberg	594
Bredenberg	179
Bredin	325
Brehmer	289
Breitholtz	235
Bremberg	232
Bremer	381
Brewitz	197
Brhane	352
