tld	type	unicode
.toys	generic	.toys
.tr	country-code	.tr
.trade	generic	.trade
.trading	generic	.trading
.training	generic	.training
.travel	sponsored	.travel
.travelers	generic	.travelers
.travelersinsurance	generic	.travelersinsurance
.trust	generic	.trust
.trv	generic	.trv
.tt	country-code	.tt
.tube	generic	.tube
.tui	generic	.tui
.tunes	generic	.tunes
.tushu	generic	.tushu
.tv	country-code	.tv
.tvs	generic	.tvs
.tw	country-code	.tw
.tz	country-code	.tz
.ua	country-code	.ua
.ubank	generic	.ubank
.ubs	generic	.ubs
.ug	country-code	.ug
.uk	country-code	.uk
.unicom	generic	.unicom
.university	generic	.university
.uno	generic	.uno
.uol	generic	.uol
.ups	generic	.ups
.us	country-code	.us
.uy	country-code	.uy
.uz	country-code	.uz
.va	country-code	.va
.vacations	generic	.vacations
.vana	generic	.vana
.vanguard	generic	.vanguard
.vc	country-code	.vc
.ve	country-code	.ve
.vegas	generic	.vegas
.ventures	generic	.ventures
.verisign	generic	.verisign
.versicherung	generic	.versicherung
.vet	generic	.vet
.vg	country-code	.vg
.vi	country-code	.vi
.viajes	generic	.viajes
.video	generic	.video
.vig	generic	.vig
.viking	generic	.viking
.villas	generic	.villas
.vin	generic	.vin
.vip	generic	.vip
.virgin	generic	.virgin
.visa	generic	.visa
.vision	generic	.vision
.viva	generic	.viva
.vivo	generic	.vivo
.vlaanderen	generic	.vlaanderen
.vn	country-code	.vn
.vodka	generic	.vodka
.volvo	generic	.volvo
.vote	generic	.vote
.voting	generic	.voting
.voto	generic	.voto
.voyage	generic	.voyage
.vu	country-code	.vu
.wales	generic	.wales
.walmart	generic	.walmart
.walter	generic	.walter
.wang	generic	.wang
.wanggou	generic	.wanggou
.watch	generic	.watch
.watches	generic	.watches
.weather	generic	.weather
.weatherchannel	generic	.weatherchannel
.web	generic	.web
.webcam	generic	.webcam
.weber	generic	.weber
.website	generic	.website
.wed	generic	.wed
.wedding	generic	.wedding
.weibo	generic	.weibo
.weir	generic	.weir
.wf	country-code	.wf
.whoswho	generic	.whoswho
.wien	generic	.wien
.wiki	generic	.wiki
.williamhill	generic	.williamhill
.win	generic	.win
.windows	generic	.windows
.wine	generic	.wine
.winners	generic	.winners
.wme	generic	.wme
.woodside	generic	.woodside
.work	generic	.work
.works	generic	.works
.world	generic	.world
.wow	generic	.wow
.ws	country-code	.ws
.wtc	generic	.wtc
.wtf	generic	.wtf
.xbox	generic	.xbox
.xerox	generic	.xerox
.xihuan	generic	.xihuan
.xin	generic	.xin
.xn--11b4c3d	generic	.कॉम
.xn--1ck2e1b	generic	.セール
.xn--1qqw23a	generic	.佛山
.xn--2scrj9c	country-code	.ಭಾರತ
.xn--30rr7y	generic	.慈善
.xn--3bst00m	generic	.集团
.xn--3ds443g	generic	.在线
.xn--3e0b707e	country-code	.한국
.xn--3hcrj9c	country-code	.ଭାରତ
.xn--3pxu8k	generic	.点看
.xn--42c2d9a	generic	.คอม
.xn--45br5cyl	country-code	.ভাৰত
.xn--45brj9c	country-code	.ভারত
.xn--45q11c	generic	.八卦
.xn--4dbrk0ce	country-code	.ישראל
.xn--4gbrim	generic	.موقع
.xn--54b7fta0cc	country-code	.বাংলা
.xn--55qw42g	generic	.公益
.xn--55qx5d	generic	.公司
.xn--5su34j936bgsg	generic	.香格里拉
.xn--5tzm5g	generic	.网站
.xn--6frz82g	generic	.移动
.xn--6qq986b3xl	generic	.我爱你
.xn--80adxhks	generic	.москва
.xn--80ao21a	country-code	.қаз
.xn--80aqecdr1a	generic	.католик
.xn--80asehdb	generic	.онлайн
.xn--80aswg	generic	.сайт
.xn--8y0a063a	generic	.联通
.xn--90a3ac	country-code	.срб
.xn--90ae	country-code	.бг
.xn--90ais	country-code	.бел
.xn--9dbq2a	generic	.קום
.xn--9et52u	generic	.时尚
.xn--9krt00a	generic	.微博
.xn--b4w605ferd	generic	.淡马锡
.xn--bck1b9a5dre4c	generic	.ファッション
.xn--c1avg	generic	.орг
.xn--c2br7g	generic	.नेट
.xn--cck2b3b	generic	.ストア
.xn--cckwcxetd	generic	.アマゾン
.xn--cg4bki	generic	.삼성
.xn--clchc0ea0b2g2a9gcd	country-code	.சிங்கப்பூர்
.xn--czr694b	generic	.商标
.xn--czrs0t	generic	.商店
.xn--czru2d	generic	.商城
.xn--d1acj3b	generic	.дети
.xn--d1alf	country-code	.мкд
.xn--e1a4c	country-code	.ею
.xn--eckvdtc9d	generic	.ポイント
.xn--efvy88h	generic	.新闻
.xn--fct429k	generic	.家電
.xn--fhbei	generic	.كوم
.xn--fiq228c5hs	generic	.中文网
.xn--fiq64b	generic	.中信
.xn--fiqs8s	country-code	.中国
.xn--fiqz9s	country-code	.中國
.xn--fjq720a	generic	.娱乐
.xn--flw351e	generic	.谷歌
.xn--fpcrj9c3d	country-code	.భారత్
.xn--fzc2c9e2c	country-code	.ලංකා
.xn--fzys8d69uvgm	generic	.電訊盈科
.xn--g2xx48c	generic	.购物
.xn--gckr3f0f	generic	.クラウド
.xn--gecrj9c	country-code	.ભારત
.xn--gk3at1e	generic	.通販
.xn--h2breg3eve	country-code	.भारतम्
.xn--h2brj9c	country-code	.भारत
.xn--h2brj9c8c	country-code	.भारोत
.xn--hxt814e	generic	.网店
.xn--i1b6b1a6a2e	generic	.संगठन
.xn--imr513n	generic	.餐厅
.xn--io0a7i	generic	.网络
.xn--j1aef	generic	.ком
.xn--j1amh	country-code	.укр
.xn--j6w193g	country-code	.香港
.xn--jlq480n2rg	generic	.亚马逊
.xn--jvr189m	generic	.食品
.xn--kcrx77d1x4a	generic	.飞利浦
.xn--kprw13d	country-code	.台湾
.xn--kpry57d	country-code	.台灣
.xn--kput3i	generic	.手机
.xn--l1acc	country-code	.мон
.xn--lgbbat1ad8j	country-code	.الجزائر
.xn--mgb9awbf	country-code	.عمان
.xn--mgba3a3ejt	generic	.ارامكو
.xn--mgba3a4f16a	country-code	.ایران
.xn--mgba7c0bbn0a	generic	.العليان
.xn--mgbaam7a8h	country-code	.امارات
.xn--mgbab2bd	generic	.بازار
.xn--mgbah1a3hjkrd	country-code	.موريتانيا
.xn--mgbai9azgqp6j	country-code	.پاکستان
.xn--mgbayh7gpa	country-code	.الاردن
.xn--mgbbh1a	country-code	.بارت
.xn--mgbbh1a71e	country-code	.بھارت
.xn--mgbc0a9azcg	country-code	.المغرب
.xn--mgbca7dzdo	generic	.ابوظبي
.xn--mgbcpq6gpa1a	country-code	.البحرين
.xn--mgberp4a5d4ar	country-code	.السعودية
.xn--mgbgu82a	country-code	.ڀارت
.xn--mgbi4ecexp	generic	.كاثوليك
.xn--mgbpl2fh	country-code	.سودان
.xn--mgbt3dhd	generic	.همراه
.xn--mgbtx2b	country-code	.عراق
.xn--mgbx4cd0ab	country-code	.مليسيا
.xn--mix891f	country-code	.澳門
.xn--mk1bu44c	generic	.닷컴
.xn--mxtq1m	generic	.政府
.xn--ngbc5azd	generic	.شبكة
.xn--ngbe9e0a	generic	.بيتك
.xn--ngbrx	generic	.عرب
.xn--node	country-code	.გე
.xn--nqv7f	generic	.机构
.xn--nqv7fs00ema	generic	.组织机构
.xn--nyqy26a	generic	.健康
.xn--o3cw4h	country-code	.ไทย
.xn--ogbpf8fl	country-code	.سورية
.xn--otu796d	generic	.招聘
.xn--p1acf	generic	.рус
.xn--p1ai	country-code	.рф
.xn--pgbs0dh	country-code	.تونس
.xn--pssy2u	generic	.大拿
.xn--q7ce6a	country-code	.ລາວ
.xn--q9jyb4c	generic	.みんな
.xn--qcka1pmc	generic	.グーグル
.xn--qxa6a	country-code	.ευ
.xn--qxam	country-code	.ελ
.xn--rhqv96g	generic	.世界
.xn--rovu88b	generic	.書籍
.xn--rvc1e0am3e	country-code	.ഭാരതം
.xn--s9brj9c	country-code	.ਭਾਰਤ
.xn--ses554g	generic	.网址
.xn--t60b56a	generic	.닷넷
.xn--tckwe	generic	.コム
.xn--tiq49xqyj	generic	.天主教
.xn--unup4y	generic	.游戏
.xn--vermgensberater-ctb	generic	.vermögensberater
.xn--vermgensberatung-pwb	generic	.vermögensberatung
.xn--vhquv	generic	.企业
.xn--vuq861b	generic	.信息
.xn--w4r85el8fhu5dnra	generic	.嘉里大酒店
.xn--w4rs40l	generic	.嘉里
.xn--wgbh1c	country-code	.مصر
.xn--wgbl6a	country-code	.قطر
.xn--xhq521b	generic	.广东
.xn--xkc2al3hye2a	country-code	.இலங்கை
.xn--xkc2dl3a5ee0h	country-code	.இந்தியா
.xn--y9a3aq	country-code	.հայ
.xn--yfro4i67o	country-code	.新加坡
.xn--ygbi2ammx	country-code	.فلسطين
.xn--zfr164b	generic	.政务
.xxx	sponsored	.xxx
.xyz	generic	.xyz
.yachts	generic	.yachts
.yahoo	generic	.yahoo
.yamaxun	generic	.yamaxun
.yandex	generic	.yandex
.ye	country-code	.ye
.yodobashi	generic	.yodobashi
.yoga	generic	.yoga
.yokohama	generic	.yokohama
.you	generic	.you
.youtube	generic	.youtube
.yt	country-code	.yt
.yun	generic	.yun
.za	country-code	.za
.zappos	generic	.zappos
.zara	generic	.zara
.zero	generic	.zero
.zip	generic	.zip
.zm	country-code	.zm
.zone	generic	.zone
.zuerich	generic	.zuerich
.zw	country-code	.zw
