tld	type	unicode
.condos	generic	.condos
.construction	generic	.construction
.consulting	generic	.consulting
.contact	generic	.contact
.contractors	generic	.contractors
.cooking	generic	.cooking
.cool	generic	.cool
.coop	sponsored	.coop
.corsica	generic	.corsica
.country	generic	.country
.coupon	generic	.coupon
.coupons	generic	.coupons
.courses	generic	.courses
.cpa	generic	.cpa
.cr	country-code	.cr
.credit	generic	.credit
.creditcard	generic	.creditcard
.creditunion	generic	.creditunion
.cricket	generic	.cricket
.crown	generic	.crown
.crs	generic	.crs
.cruise	generic	.cruise
.cruises	generic	.cruises
.cu	country-code	.cu
.cuisinella	generic	.cuisinella
.cv	country-code	.cv
.cw	country-code	.cw
.cx	country-code	.cx
.cy	country-code	.cy
.cymru	generic	.cymru
.cyou	generic	.cyou
.cz	country-code	.cz
.dad	generic	.dad
.dance	generic	.dance
.data	generic	.data
.date	generic	.date
.dating	generic	.dating
.datsun	generic	.datsun
.day	generic	.day
.dclk	generic	.dclk
.dds	generic	.dds
.de	country-code	.de
.deal	generic	.deal
.dealer	generic	.dealer
.deals	generic	.deals
.degree	generic	.degree
.delivery	generic	.delivery
.dell	generic	.dell
.deloitte	generic	.deloitte
.delta	generic	.delta
.democrat	generic	.democrat
.dental	generic	.dental
.dentist	generic	.dentist
.desi	generic	.desi
.design	generic	.design
.dev	generic	.dev
.dhl	generic	.dhl
.diamonds	generic	.diamonds
.diet	generic	.diet
.digital	generic	.digital
.direct	generic	.direct
.directory	generic	.directory
.discount	generic	.discount
.discover	generic	.discover
.dish	generic	.dish
.diy	generic	.diy
.dj	country-code	.dj
.dk	country-code	.dk
.dm	country-code	.dm
.dnp	generic	.dnp
.do	country-code	.do
.docs	generic	.docs
.doctor	generic	.doctor
.dog	generic	.dog
.domains	generic	.domains
.dot	generic	.dot
.download	generic	.download
.drive	generic	.drive
.dtv	generic	.dtv
.dubai	generic	.dubai
.dupont	generic	.dupont
.durban	generic	.durban
.dvag	generic	.dvag
.dvr	generic	.dvr
.dz	country-code	.dz
.earth	generic	.earth
.eat	generic	.eat
.ec	country-code	.ec
.eco	generic	.eco
.edeka	generic	.edeka
.edu	sponsored	.edu
.education	generic	.education
.ee	country-code	.ee
.eg	country-code	.eg
.email	generic	.email
.emerck	generic	.emerck
.energy	generic	.energy
.engineer	generic	.engineer
.engineering	generic	.engineering
.enterprises	generic	.enterprises
.epson	generic	.epson
.equipment	generic	.equipment
.er	country-code	.er
.ericsson	generic	.ericsson
.erni	generic	.erni
.es	country-code	.es
.esq	generic	.esq
.estate	generic	.estate
.et	country-code	.et
.eu	country-code	.eu
.eurovision	generic	.eurovision
.eus	generic	.eus
.events	generic	.events
.exchange	generic	.exchange
.expert	generic	.expert
.exposed	generic	.exposed
.express	generic	.express
.extraspace	generic	.extraspace
.fage	generic	.fage
.fail	generic	.fail
.fairwinds	generic	.fairwinds
.faith	generic	.faith
.family	generic	.family
.fan	generic	.fan
.fans	generic	.fans
.farm	generic	.farm
.farmers	generic	.farmers
.fashion	generic	.fashion
.fast	generic	.fast
.fedex	generic	.fedex
.feedback	generic	.feedback
.ferrari	generic	.ferrari
.ferrero	generic	.ferrero
.fi	country-code	.fi
.fidelity	generic	.fidelity
.fido	generic	.fido
.film	generic	.film
.final	generic	.final
.finance	generic	.finance
.financial	generic	.financial
.fire	generic	.fire
.firestone	generic	.firestone
.firmdale	generic	.firmdale
.fish	generic	.fish
.fishing	generic	.fishing
.fit	generic	.fit
.fitness	generic	.fitness
.fj	country-code	.fj
.fk	country-code	.fk
.flickr	generic	.flickr
.flights	generic	.flights
.flir	generic	.flir
.florist	generic	.florist
.flowers	generic	.flowers
.fly	generic	.fly
.fm	country-code	.fm
.fo	country-code	.fo
.foo	generic	.foo
.food	generic	.food
.football	generic	.football
.ford	generic	.ford
.forex	generic	.forex
.forsale	generic	.forsale
.forum	generic	.forum
.foundation	generic	.foundation
.fox	generic	.fox
.fr	country-code	.fr
.free	generic	.free
.fresenius	generic	.fresenius
.frl	generic	.frl
.frogans	generic	.frogans
.frontier	generic	.frontier
.ftr	generic	.ftr
.fujitsu	generic	.fujitsu
.fun	generic	.fun
