name	sex	count
Ashlee	f	43338
Ashleigh	f	31730
Ashley	f	849951
Ashley	m	14613
Ashlie	f	10014
Ashly	f	11377
Ashlyn	f	46348
Ashlynn	f	24288
Ashton	f	19075
Ashton	m	76391
Asia	f	31863
Aspen	f	17885
Astrid	f	9378
Athena	f	38386
Atlas	m	9052
Atticus	m	12078
Aubree	f	44210
Aubrey	f	119498
Aubrey	m	21719
Aubrie	f	13897
Audie	m	3595
Audra	f	22807
Audrey	f	235187
Audrina	f	8103
August	m	35116
Augustine	m	11060
Augustus	m	13899
Aurelia	f	10160
Aurelio	m	6352
Aurora	f	61997
Austen	m	7758
Austin	m	411419
Austyn	m	4825
Autumn	f	130119
Ava	f	289256
Averi	f	6630
Averie	f	10796
Avery	f	139696
Avery	m	56960
Avi	m	4470
Aviana	f	6790
Avianna	f	6482
Avis	f	8905
Avraham	m	3965
Axel	m	49611
Axton	m	3811
Ayaan	m	5963
Ayana	f	10954
Ayanna	f	15338
Aydan	m	5530
Ayden	m	79270
Aydin	m	5547
Ayla	f	23690
Aylin	f	12970
Azalea	f	7052
Azariah	m	3910
Bailee	f	14798
Bailey	f	102509
Bailey	m	20062
Barbara	f	1305528
Barbara	m	3843
Barbra	f	7321
Barney	m	9777
Baron	m	6345
Barrett	m	23481
Barron	m	4573
Barry	m	179540
Bart	m	15494
Barton	m	8048
Basil	m	7910
Baylee	f	20232
Baylor	m	4854
Beatrice	f	72768
Beatriz	f	16808
Beau	m	43793
Beckett	m	18659
Beckham	m	10497
Becky	f	86027
Belen	f	10068
Belinda	f	72085
Bella	f	65876
Belle	f	6248
Ben	m	53955
Benedict	m	6851
Benita	f	12369
Benito	m	12314
Benjamen	m	3390
Benjamin	m	721627
Bennett	m	46518
Bennie	m	35422
Benny	m	41422
Benson	m	10238
Bentlee	m	3473
Bentley	m	49549
Benton	m	8073
Berenice	f	7451
Bernadette	f	47312
Bernadine	f	12874
Bernard	m	124126
Bernardo	m	9847
Bernice	f	70592
Bernie	m	7286
Berry	m	3982
Bert	m	17719
Bertha	f	61379
Bertram	m	4122
Bessie	f	40277
Beth	f	153431
Bethany	f	98664
Betsy	f	44649
Bette	f	19162
Bettie	f	20741
Betty	f	659479
Bettye	f	17601
Beulah	f	16291
Beverley	f	10902
Beverly	f	343748
Bianca	f	73954
Bilal	m	5015
Bill	m	128590
Billie	f	77883
Billie	m	19943
Billy	m	337684
Bishop	m	5116
Bjorn	m	3642
Blaine	m	29336
Blair	f	16590
Blair	m	13190
Blaise	m	7617
Blake	f	13254
Blake	m	178500
Blakely	f	11815
Blanca	f	24774
Blanche	f	16265
Blane	m	4229
Blayne	m	3824
Blaze	m	6821
Bo	m	11640
Bob	m	74791
Bobbi	f	23797
Bobbie	f	78660
Bobbie	m	14570
Bobby	f	8180
Bobby	m	299694
Bode	m	3348
Bodhi	m	8375
Bodie	m	4314
Bonita	f	35102
Bonnie	f	289613
Booker	m	6658
Boone	m	3974
Boris	m	3851
Boston	m	8363
Bowen	m	8095
Boyce	m	3907
Boyd	m	18725
