name	municipality	population	lat	lon
Brålanda	1487	1461	58.5667	12.3667
Brösarp	1270	721	55.7167	14.1167
Bua	1383	2009	57.2250	12.2167
Bullmark	2480	313	64.0333	20.4667
Bunkeflostrand	1280	15488	55.5333	12.9500
Burgsvik	0980	322	57.0500	18.2667
Burseryd	0662	899	57.2000	13.2833
Burträsk	2482	1616	64.5167	20.6500
By Kyrkby	2084	200	60.1831	16.2313
Bygdeå	2409	479	64.0667	20.8500
Bygdsiljum	2482	291	64.3492	20.5041
Byske	2482	1741	65.3000	20.6333
Byxelkrok	0885	200	57.3333	17.0000
Bäckefors	1460	632	58.8000	12.1667
Bälinge	0380	2449	59.9500	17.5333
Bålsta	0305	16205	59.5671	17.5278
Båstad	1278	7073	56.4269	12.8534
Båtskärsnäs	2514	200	65.7833	23.4167
Charlottenberg	1730	2503	59.8842	12.3040
Dala-Floda	2026	200	60.4833	14.7833
Dala-Husby	2083	200	60.3799	16.0009
Dala-Järna	2021	200	60.5500	14.3500
Dalarö	0136	1885	59.1331	18.4064
Dalby	1281	6969	55.6667	13.3333
Dalhem	0980	200	57.4966	18.3730
Dals Långed	1460	1337	58.9167	12.3000
Dals Rostock	1461	775	58.7167	12.3500
Dalsjöfors	1490	3915	57.7167	13.0833
Dalskog	1461	200	58.7500	12.2833
Dalstorp	1452	719	57.6167	13.5000
Dalum	1491	642	57.8985	13.4646
Danderyd	0162	32425	59.3987	18.0294
Dannike	1490	425	57.6833	13.2167
Degeberga	1290	1350	55.8333	14.0833
Degerfors	1862	7047	59.2380	14.4308
Degerhamn	0840	289	56.3500	16.4000
Deje	1763	2717	59.6000	13.4667
Delsbo	2184	2206	61.8010	16.5557
Dikanäs	2421	200	64.5917	17.6229
Dingle	1430	910	58.5333	11.5667
Diö	0765	200	56.6333	14.2167
Djura	2029	382	60.6167	15.0000
Djurhamn	0120	200	59.3000	18.6833
Djurmo	2026	200	60.5500	14.1833
Djursholm	0162	200	59.3993	18.0562
Docksta	2282	379	63.0500	18.3333
Domsjö	2284	200	63.2500	18.7167
Dorotea	2425	1208	64.3085	16.3122
Drottningholm	0125	320	59.3251	17.8878
Drottningskär	1080	479	56.1167	15.5667
Duved	2321	200	63.4000	12.8667
Dvärsätt	2309	784	63.3167	14.4667
Dyltabruk	1880	200	59.3833	15.2333
Dyrön	1419	200	57.9333	11.6167
Dösjebro	1261	902	55.8167	13.0167
Ed	1438	2901	58.9125	11.9253
Edane	1784	672	59.6333	12.8000
Edsbro	0188	574	59.9000	18.4833
Edsbruk	0883	281	58.0333	16.4667
Edsbyn	2121	4244	61.3769	15.8175
Edsele	2283	200	63.4167	16.5333
Edsvalla	1780	701	59.4333	13.1833
Ekeby	1260	3344	56.0000	12.9667
Ekenässjön	0685	1615	57.5000	15.0000
Ekerö	0125	12270	59.2910	17.8121
Eket	1257	450	56.2500	13.1833
Ekshärad	1783	955	60.1728	13.4965
Eksjö	0686	11077	57.6664	14.9720
Eldsberga	1380	752	56.6497	12.9045
Ellös	1421	1204	58.1833	11.4667
Emmaboda	0862	4788	56.6327	15.5365
Enebyberg	0162	200	59.4333	18.0500
Eneryda	0765	305	56.7000	14.3333
Enköping	0381	26353	59.6361	17.0777
Enskede	0180	200	59.2833	18.0667
Enstaberga	0480	439	58.7500	16.8500
Enviken	2121	200	60.8000	15.7833
Enånger	2184	593	61.5456	17.0106
Eriksmåla	0862	200	56.7333	15.4667
Eringsboda	1081	288	56.4333	15.3500
Ersmark	2482	805	64.8500	20.8833
Ervalla	1880	200	59.4167	15.2333
Eskilstuna	0484	70646	59.3666	16.5077
Eslöv	1285	20422	55.8393	13.3039
Everöd	1290	906	55.9000	14.1000
Fagersanna	1472	723	58.4667	14.3000
Fagersta	1982	11771	60.0042	15.7932
Fagervik	2262	200	62.5036	17.4053
Fagerås	1715	449	59.5333	13.2000
Falkenberg	1382	29671	56.9055	12.4912
Falköping	1499	17924	58.1735	13.5507
Falsterbo	1233	200	55.3833	12.8333
Falun	2080	39939	60.6036	15.6260
Farsta	0180	200	59.2500	18.0833
Fegen	1382	240	57.1000	13.0333
Fellingsbro	1885	1374	59.4018	15.7877
Fengersfors	1492	336	58.9833	12.4667
Figeholm	0882	784	57.3667	16.5500
Filipstad	1782	5970	59.7124	14.1683
Finja	1293	514	56.1667	13.6833
Finnerödja	1860	517	58.9333	14.4333
Finspång	0562	13186	58.7058	15.7674
Fiskebäckskil	1484	252	58.2500	11.4667
Fjugesta	1814	2381	59.1737	14.8723
Fjälkinge	1290	1872	56.0500	14.2833
Fjällbacka	1435	816	58.6000	11.2833
Fjärdhundra	0381	935	59.7833	16.9333
Fjärås	1463	200	57.4591	12.1751
Flarken	2409	200	64.3000	20.8667
Flen	0482	6266	59.0583	16.5878
Flisby	0682	215	57.7833	14.8000
Fliseryd	0861	710	57.1333	16.2667
Floby	1499	1548	58.1333	13.3333
Floda	1441	200	57.8000	12.3667
Flyinge	1285	1055	55.7500	13.3500
Fors	2084	753	60.2167	16.3000
Forsa	2184	200	61.7500	16.8667
Forsbacka	2180	1697	60.6167	16.8833
Forserum	0682	2153	57.7000	14.4667
Forshaga	1763	6433	59.5254	13.4813
Forsheda	0683	1431	57.1500	13.8167
Forsvik	1446	323	58.5833	14.4333
Fotskäl	1463	215	57.4667	12.4833
Fotö	1407	614	57.6782	11.6540
Fredrika	2463	200	64.0833	18.4000
Fredriksdal	0682	296	57.6167	14.6000
Frillesås	1384	3773	57.3167	12.1667
Frinnaryd	0604	220	57.9333	14.8167
Fristad	1490	6189	57.8167	13.0167
Fritsla	1463	2346	57.5500	12.7833
Frufällan	1490	200	57.7833	12.9667
Frändefors	1487	605	58.5000	12.2833
Fränsta	2260	200	62.5000	16.1500
Fröseke	0881	200	57.1500	15.3500
Frösön	2380	200	63.1833	14.5333
Frövi	1885	2533	59.4667	15.3667
Funäsdalen	2361	1064	62.5333	12.5500
Furuby	0780	416	56.8500	15.0333
Furulund	1261	4633	55.7667	13.1000
Furuvik	2180	749	60.6500	17.3333
Fällfors	2482	200	65.1333	20.7667
Färentuna	0125	200	59.3611	17.7222
Färgelanda	1439	1938	58.5682	11.9923
Färila	2161	1324	61.8000	15.8500
Färjestaden	0840	6674	56.6500	16.4500
Färlöv	1290	1630	56.0667	14.0833
Färnäs	2062	200	61.0000	14.6333
Fågelfors	0821	368	57.2000	15.8333
Fågelmara	1080	366	56.2500	15.9500
Fåker	2380	200	62.9833	14.5833
Fårbo	0882	474	57.3833	16.4833
Fårösund	0980	883	57.8667	19.0500
Föllinge	2309	421	63.6667	14.6167
Förslöv	1278	2484	56.3500	12.8167
Gagnef	2026	1257	60.4977	14.8201
Gamleby	0883	2759	57.9000	16.4000
Gammelstad	2580	200	65.6333	22.0167
Gargnäs	2422	200	65.3167	17.9333
Garpenberg	2083	479	60.3167	16.2000
Garphyttan	1880	1602	59.3043	14.9462
Garsås	2062	200	60.9167	14.8333
Gemla	0780	1081	56.8740	14.7505
Genarp	1281	3180	55.6000	13.3833
Genevad	1381	684	56.5667	13.0167
Getinge	1380	2063	56.7029	12.8321
Gideå	2284	275	63.4833	18.9667
Gimo	0382	2811	60.1833	18.1833
Gislaved	0662	10029	57.3044	13.5408
Glanshammar	1880	784	59.3167	15.4000
Glava	1784	200	59.5500	12.5500
Glemmingbro	1286	200	55.4333	14.1167
Glemmingebro	1286	421	55.4500	14.0167
Glimåkra	1256	1484	56.3000	14.1333
Glommen	1382	1329	56.9333	12.3500
Glumslöv	1282	2243	55.9500	12.8167
Gnarp	2132	1132	62.0667	17.2833
Gnesta	0461	6472	59.0475	17.3119
Gnosjö	0617	4251	57.3585	13.7369
Granö	2404	200	64.2500	19.3167
Grebbestad	1435	1936	58.7025	11.2574
Grevie	1278	1031	56.3917	12.7833
Grillby	0381	1175	59.6167	17.2500
Grimslöv	0764	597	56.7333	14.5333
Grimstorp	0682	345	57.5667	14.7000
Grimsås	1452	680	57.4833	13.5333
Grisslehamn	0188	368	60.1000	18.8333
Grums	1764	4975	59.3466	13.1091
Grundsund	1484	616	58.2167	11.4167
Grycksbo	2080	1838	60.6833	15.4667
Gryt	0563	318	58.1833	16.8000
Grytgöl	0562	285	58.8000	15.5500
Grythyttan	1863	801	59.7000	14.5333
Grängesberg	2085	2119	60.0833	14.9833
Gränna	0680	2649	58.0167	14.4667
Gräsmyr	2401	200	63.7500	19.6333
Grästorp	1444	3022	58.3322	12.6812
Gråbo	1441	6953	57.8333	12.3000
Grödinge	0127	200	59.1988	17.8298
Grönahög	1491	200	57.6667	13.5833
Gualöv	1272	519	56.0500	14.4167
Gudhem	1499	427	58.2333	13.5500
Guldsmedshyttan	1885	200	59.7000	15.1000
Gullabo	0834	200	56.4667	15.9833
Gullaskruv	0881	200	56.8833	15.6667
Gullbrandstorp	1380	1855	56.6873	12.7950
Gullholmen	1421	200	58.1833	11.4000
Gullringen	0884	465	57.8000	15.7000
Gullspång	1447	1579	58.9861	14.0964
Gunnarn	2421	200	65.0000	17.6667
Gunnarsbyn	2582	200	66.0833	21.8333
Gunnarskog	1784	279	59.8333	12.5500
Gunnebo	0883	1019	57.7167	16.5333
Gunnilse	1480	200	57.8000	12.0667
Gusselby	1885	274	59.6500	15.2167
Gustafs	2082	200	60.4000	15.6000
Gustavsberg	0120	25034	59.3268	18.3898
Gustavsfors	1765	200	59.2000	12.1000
Gusum	0563	1063	58.2667	16.4833
Gysinge	2181	200	60.2833	16.8833
Gyttorp	1884	648	59.5167	14.9667
Gäddede	2313	254	64.5000	14.1500
Gällivare	2523	12385	67.1339	20.6528
Gällnöby	0120	200	59.4000	18.6333
Gällstad	1491	601	57.6667	13.4333
Gällö	2305	668	62.9167	15.2333
Gärds Köpinge	1290	893	55.9333	14.1500
Gärsnäs	1291	1039	55.5500	14.1833
Gästrike-Hammarby	2181	200	60.6056	16.5889
Gävle	2180	86533	60.6745	17.1417
Gånghester	1490	200	57.7000	13.0167
Gårdsjö	1860	200	58.8667	14.3167
Göta	1462	1270	58.1167	12.1500
Göteborg	1480	674529	57.7072	11.9668
Götene	1471	5153	58.5282	13.4946
Habo	0643	9499	57.9119	14.0744
Hackås	2326	591	62.7939	14.4660
Hagfors	1783	4731	60.0238	13.6721
Hajom	1463	200	57.5000	12.5500
Hakenäset	1419	200	58.0467	11.7133
Hakkas	2523	332	66.9167	21.5500
Hallabro	1081	242	56.3833	15.1000
Hallaryd	0765	200	56.4833	13.8667
Hallen	2321	235	62.9575	13.9073
Hallsberg	1861	8321	59.0657	15.1117
Hallstahammar	1961	10147	59.6139	16.2285
Hallstavik	0188	4598	60.0500	18.6000
Halltorp	0880	248	56.5000	16.1000
Halmstad	1380	72979	56.6745	12.8568
Hamburgsund	1435	696	58.5525	11.2727
Hammar	1882	268	58.8167	14.9500
Hammarstrand	2303	1078	63.1104	16.3538
Hammarö	1761	16992	59.3333	13.5167
Hammenhög	1291	920	55.5000	14.1500
Hammerdal	2313	1089	63.6000	15.3500
Hamneda	0781	200	56.7000	13.8500
Hamra	2161	200	61.6500	15.0000
Hamrångefjärden	2180	200	60.9000	17.0667
Hanaskog	1256	1244	56.1500	14.1167
Handen	0136	200	59.1676	18.1380
Haninge	0136	100895	59.1677	18.1448
Haparanda	2583	6292	65.8355	24.1368
Harads	2582	504	66.0840	20.9550
Harbo	0331	842	60.1000	17.2000
Harestad	1482	200	57.8167	11.8333
Hargshamn	0382	284	60.1667	18.4667
Harlösa	1285	887	55.7167	13.5333
Harmånger	2132	614	61.9333	17.2167
Harplinge	1380	1706	56.6997	12.8101
Hassela	2132	336	62.1333	16.7167
Hasselfors	1860	379	59.0833	14.6500
Hasslarp	1283	543	56.0900	12.7555
Hasslö	1080	1704	56.1167	15.4833
Havdhem	0980	268	57.1500	18.3167
Haverdal	1380	1925	56.6864	12.8106
Havstenssund	1435	200	58.7500	11.1833
Heberg	1382	471	56.8833	12.6167
Heby	0331	2962	59.9381	16.8622
Hedared	1490	356	57.8167	12.7500
Hede	2361	711	62.4229	13.5210
Hedekas	1430	398	58.6500	11.7667
Hedemora	2083	7461	60.2797	15.9886
Hedesunda	2180	1081	60.4000	17.0000
Helgum	2283	200	63.1500	16.9500
Helsingborg	1283	116029	56.0467	12.6944
Hemmingsmark	2581	371	65.2167	21.2667
Hemse	0980	1752	57.2379	18.3744
Henån	1421	2394	58.2385	11.6760
Herrljunga	1466	4113	58.0774	13.0266
Herräng	0188	320	60.1333	18.6500
Hestra	0662	1343	57.2667	13.0167
Hillared	1465	660	57.6333	13.1500
Hillerstorp	0617	1660	57.3167	13.8667
Hindås	1401	3073	57.7000	12.4500
Hishult	1381	322	56.4333	13.3000
Hisings Backa	1480	200	57.6766	11.9582
