name	municipality	population	lat	lon
Kärna	1482	1234	57.8500	11.7833
Kättilstorp	1499	216	57.7500	14.1333
Kävlinge	1261	10453	55.7919	13.1102
Kåge	2482	2594	64.8357	20.9845
Kågeröd	1214	1585	56.0167	13.1000
Kållekärr	1419	803	57.9828	11.5817
Kållered	1481	200	57.6099	12.0511
Kårböle	2161	200	61.9833	15.3167
Köping	1983	18605	59.5140	15.9926
Köpingebro	1286	1356	55.4667	13.9333
Köpmanholmen	2284	1210	63.1667	18.5667
Köpmannebro	1461	200	58.7833	12.5000
Lagan	0781	1626	56.9167	13.9833
Laholm	1381	6861	56.5121	13.0437
Laisvall	2506	200	65.8339	18.0231
Lajksjöberg	2425	200	64.2018	16.5274
Lammhult	0780	1600	57.1667	14.5833
Landeryd	1315	375	57.0833	13.2667
Landfjärden	0192	283	58.9832	17.9777
Landsbro	0685	1408	57.3667	14.9000
Landskrona	1282	33859	55.8708	12.8302
Landvetter	1401	9999	57.6866	12.2117
Lannavaara	2584	200	68.0500	21.9333
Lansjärv	2523	200	66.6540	22.1961
Lappträsk	2583	200	65.9667	23.5000
Latikberg	2462	200	64.6500	17.0500
Lavsjön	2425	200	64.1833	16.6500
Laxå	1860	3161	58.9863	14.6190
Lekeryd	0680	820	57.7667	14.4000
Leksand	2029	6505	60.7330	15.0014
Lenhovda	0760	1694	57.0000	15.2833
Lerberget	1284	200	56.1833	12.5500
Lerdala	1496	539	58.4833	13.7167
Lerum	1441	28789	57.7705	12.2690
Lesjöfors	1782	713	59.9833	14.1833
Lessebo	0761	2881	56.7519	15.2697
Liden	2281	261	62.4942	17.1375
Lidhult	0781	615	56.8333	13.4333
Lidingö	0186	44642	59.3667	18.1333
Lidköping	1494	23585	58.5052	13.1577
Lidsjöberg	2313	200	64.3000	15.2000
Likenäs	1737	200	60.6167	13.0333
Lilla Edet	1462	3907	58.1333	12.1333
Lillhärdal	2361	333	61.8500	14.0667
Lillkyrka	0381	316	58.5000	15.9000
Lillpite	2581	399	65.3667	21.1333
Lima	2023	214	60.9333	13.3500
Limmared	1452	1441	57.5333	13.3500
Linderöd	1290	473	55.9333	13.8167
Lindesberg	1885	9575	59.5920	15.2304
Lindome	1481	200	57.5667	12.0833
Lindås	0862	200	56.6167	15.5667
Lingbo	2101	375	61.0500	16.6833
Linghed	2080	200	60.7833	15.8500
Linghem	0580	3155	58.4200	15.6500
Linköping	0580	116851	58.4167	15.6167
Linneryd	0763	449	56.6667	15.1167
Listerby	1081	1073	56.2000	15.4000
Lit	2380	1226	63.3167	14.8167
Ljugarn	0980	202	57.3167	18.7000
Ljung	1466	200	57.9833	13.0500
Ljungaverk	2260	200	62.4833	16.0167
Ljungby	0781	16076	56.8332	13.9408
Ljungbyhed	1276	2167	56.0667	13.2167
Ljungbyholm	0880	2008	56.6333	16.1667
Ljungsarp	1452	202	57.5667	13.5667
Ljungsbro	0580	7215	58.5167	15.5000
Ljungskile	1485	4026	58.2167	11.9167
Ljusdal	2161	7125	61.8288	16.0913
Ljusfallshammar	0562	313	58.7833	15.4833
Ljusne	2182	1710	61.2167	17.1333
Ljusnedal	2361	200	62.5333	12.6167
Ljusterö	0117	200	59.5275	18.6211
Lofsdalen	2361	200	62.1167	13.2667
Loftahammar	0883	425	57.8997	16.7000
Lomma	1262	13699	55.6724	13.0685
Los	2161	313	61.7333	15.1667
Lotorp	0562	699	58.7333	15.8333
Lovikka	2521	200	67.3167	22.6167
Ludvika	2085	15675	60.1496	15.1878
Lugnvik	2282	319	62.9322	17.9069
Luleå	2580	49646	65.5842	22.1546
Lund	1281	98308	55.7028	13.1927
Lunde	2282	335	62.8833	17.8500
Lundsbrunn	1471	901	58.4833	13.4500
Lur	1486	200	58.8167	11.3333
Lycke	1482	200	57.8750	11.7167
Lyckeby	1080	200	56.2000	15.6500
Lycksele	2481	8580	64.5954	18.6735
Lyrestad	1493	468	58.8000	14.0667
Lysekil	1484	7340	58.2743	11.4358
Lysvik	1766	331	60.0167	13.1333
Länghem	1452	1091	57.6000	13.2333
Lärbro	0980	466	57.7833	18.7833
Långaryd	1315	200	57.0333	13.3500
Långasjö	0862	332	56.5833	15.4333
Långbäcken	2463	200	64.3500	18.1167
Långsele	2283	1523	63.1833	17.0667
Långserud	1785	200	59.1658	12.8964
Långshyttan	2083	1405	60.4500	16.0167
Långviksmon	2284	200	63.6333	18.6833
Långås	1382	543	56.9833	12.4500
Löberöd	1285	1276	55.7833	13.5000
Löddeköpinge	1261	6714	55.7667	13.0167
Lödöse	1462	1895	58.0333	12.1333
Lögdeå	2401	547	63.5333	19.4000
Lönneberga	0884	200	57.5500	15.7167
Lönsboda	1273	1851	56.4000	14.3167
Löttorp	0885	564	57.1667	16.9833
Lövestad	1265	709	55.6500	13.8833
Malgomaj	2462	200	64.8000	16.0167
Malmberget	2523	200	67.1753	20.6550
Malmbäck	0682	1071	57.5833	14.4667
Malmköping	0482	1992	59.1333	16.7333
Malmö	1280	339316	55.6059	13.0007
Malung	2023	4873	60.6833	13.7154
Malungsfors	2023	549	60.7333	13.5500
Malå	2418	2013	65.1850	18.7424
Mantorp	0586	4260	58.3500	15.2833
Marbäck	1491	523	57.7500	13.4167
Mariannelund	0686	1518	57.6967	15.7067
Mariefred	0486	4277	59.2667	17.2167
Marieholm	1285	1725	55.8667	13.1500
Mariestad	1493	16750	58.7097	13.8237
Markaryd	0767	5085	56.4614	13.5964
Marmaverken	2182	347	61.2667	16.8667
Marsfjäll	2462	200	64.1333	17.7792
Marstrand	1482	349	57.8870	11.5822
Matfors	2281	3312	62.3500	17.0333
Mattmar	2321	200	63.3167	13.8333
Mellansel	2284	710	63.4333	18.3167
Mellanström	2506	200	65.8500	18.0167
Mellbystrand	1381	4641	56.5167	12.9333
Mellerud	1461	3974	58.6998	12.4531
Mellösa	0482	541	59.1000	16.5500
Mjällom	2282	200	62.9833	18.4333
Mjöbäck	1465	296	57.3167	12.8667
Mjölby	0586	14282	58.3259	15.1236
Mockfjärd	2026	1981	60.5000	14.9667
Moheda	0764	1836	57.0000	14.5667
Moholm	1473	541	58.6167	14.0333
Moliden	2284	282	63.3833	18.4667
Molkom	1780	1887	59.4234	13.5429
Mollösund	1421	200	58.0667	11.4667
Mora	2062	12830	61.0070	14.5432
Morgongåva	0331	1516	59.9333	16.9500
Morjärv	2514	200	66.0667	22.7167
Moskosel	2505	200	65.8667	19.4167
Motala	0583	31367	58.5348	15.0474
Mullhyttan	1814	561	59.1500	14.6833
Mullsjö	0642	5858	57.9171	13.8783
Munka-Ljungby	1292	3687	56.2500	12.9667
Munkedal	1430	4178	58.4724	11.6686
Munkfors	1762	2841	59.8386	13.5436
Munsö	0125	200	59.3081	17.8500
Murjek	2510	200	66.4667	20.8833
Muskö	0136	283	58.9831	18.1331
Myggenäs	1419	200	58.0500	11.7333
Myresjö	0685	696	57.3833	14.9500
Märsta	0191	30576	59.6167	17.8500
Målerås	0881	200	56.9167	15.5667
Målilla	0860	1461	57.3877	15.8068
Målsryd	1490	200	57.6833	13.0500
Månkarbo	0360	664	60.2333	17.4667
Månsarp	0680	200	57.6500	14.0667
Månstad	1452	200	57.6000	13.3333
Mårdaklev	1465	200	57.2667	12.9833
Möja	0120	200	59.3997	18.8331
Möklinta	1981	320	60.0833	16.5333
Mölle	1284	545	56.2833	12.5000
Mölltorp	1446	1048	58.5000	14.4000
Mölnbo	0181	1149	59.0500	17.4167
Mölndal	1481	71420	57.6554	12.0138
Mölnlycke	1401	200	57.6589	12.1179
Mönsterås	0861	5127	57.0413	16.4446
Mörarp	1283	1920	56.0517	12.7375
Mörbylånga	0840	1809	56.5248	16.3788
Mörlunda	0860	848	57.3167	15.8500
Mörrum	1082	3913	56.1833	14.7500
Mörsil	2321	822	63.3167	13.6333
Nacka	0182	112112	59.3105	18.1637
Nacka Strand	0182	200	59.3171	18.1338
Niemisel	2582	200	66.0000	22.0000
Nikkala	2583	402	65.8000	23.9333
Nissafors	0617	293	57.4000	13.6333
Nittorp	1452	216	57.5833	13.4833
Njurunda	2281	200	62.2634	17.3835
Njutånger	2184	806	61.6125	17.0556
Nol	1440	200	57.9167	12.0500
Nora	1884	6633	59.5193	15.0398
Noraström	2282	200	62.8667	18.0333
Norberg	1962	4387	60.0650	15.9237
Nordingrå	2282	284	62.9333	18.3167
Nordmaling	2401	2640	63.5685	19.5024
Nordmarkshyttan	1782	200	59.8333	14.0833
Norrahammar	0680	200	57.7000	14.1000
Norrala	2182	200	61.3667	16.9833
Norrfjärden	2581	1501	65.4167	21.4500
Norrfors	2403	200	63.7667	18.9833
Norrhult	0780	200	57.1333	15.1667
Norrköping	0581	98229	58.5942	16.1826
Norrsundet	2180	918	60.9500	17.1333
Norrtälje	0188	23606	59.7580	18.7050
Norråker	2425	200	64.2083	15.6833
Norsborg	0127	200	59.2500	17.7833
Norsholm	0581	548	58.5167	15.9667
Norsjö	2417	1995	64.9121	19.4815
Nossebro	1445	1931	58.1881	12.7160
Nusnäs	2062	783	60.9667	14.6333
Nybro	0881	13584	56.7446	15.9071
Nye	0685	200	57.3500	15.2500
Nygård	1462	508	58.0500	12.2167
Nyhamnsläge	1284	200	56.2436	12.5419
Nykil	0580	402	58.2833	15.4500
Nykroppa	1782	648	59.6500	14.3000
Nykvarn	0140	8508	59.1833	17.4333
Nyköping	0480	39770	58.7530	17.0079
Nyland	2282	800	62.8667	17.9500
Nymölla	1272	261	56.0988	14.4595
Nynäshamn	0192	16447	58.9034	17.9479
Nyvång	1277	200	56.1333	12.9000
Nyåker	2403	200	63.7500	19.3167
Nälden	2309	986	63.3500	14.2500
Nämdö	0120	200	59.1833	18.6833
Nässjö	0682	18639	57.6531	14.6968
Näsum	1272	1274	56.1667	14.4833
Näsviken	2184	994	61.7667	16.8667
Näsåker	2283	500	63.4333	16.9000
Nättraby	1080	3338	56.2000	15.5167
Nävekvarn	0480	727	58.6331	16.8000
Nävlinge	1293	200	56.0667	13.8333
Nås	2021	200	60.4500	14.4833
Nödinge	1440	200	57.8833	12.0667
Nösund	1421	200	58.1000	11.5167
Obbola	2480	2141	63.7000	20.3167
Ockelbo	2101	2901	60.8912	16.7185
Odensbacken	1880	1275	59.1667	15.5333
Offerdal	2321	200	63.4500	13.9833
Olofstorp	1480	4169	57.8000	12.1500
Olofström	1060	7628	56.2773	14.5340
Olsfors	1443	607	57.7000	12.7000
Onsala	1384	12486	57.4253	12.0290
Ormaryd	0682	223	57.6667	14.8167
Ornö	0136	200	59.0544	18.4283
Orrefors	0881	663	56.8333	15.7500
Orrviken	2380	335	63.1000	14.4333
Orsa	2034	5800	61.1203	14.6155
Osby	1273	7754	56.3816	13.9936
Oskarshamn	0882	18817	57.2646	16.4484
Oskarström	1380	4116	56.8000	12.9667
Otterbäcken	1447	606	58.9500	14.0333
Oviken	2326	200	62.6571	14.3735
Oxelösund	0481	11485	58.6706	17.1015
Oxie	1280	14040	55.5333	13.1000
Pajala	2521	1962	67.2128	23.3661
Partille	1402	41060	57.7395	12.1064
Pauliström	0685	200	57.4667	15.5167
Pello	2518	200	66.8000	24.0000
Perstorp	1275	5972	56.1383	13.3948
Pilgrimstad	2305	389	62.9500	15.0333
Piteå	2581	23824	65.3172	21.4794
Pixbo	1481	200	57.6500	12.0833
Porjus	2510	256	66.9593	19.8207
Påarp	1283	5882	56.0434	12.7250
Pålsboda	1861	1610	59.0667	15.3333
Påryd	0880	655	56.5667	15.9167
Påskallavik	0882	1118	57.1667	16.4500
Rabbalshede	1435	280	58.6167	11.4667
Ramdala	1080	253	56.1833	15.7667
Ramkvilla	0685	200	57.2042	14.9525
Ramlösa	1283	200	56.0167	12.7167
Ramnäs	1907	1185	59.7667	16.2000
Ramsberg	1885	200	59.7667	15.2833
Ramsele	2283	768	63.5500	16.4833
Ramsjö	2361	200	61.8292	15.7708
Ramvik	2280	408	62.8167	17.8500
Ransta	1981	858	59.8000	16.6333
Ransäter	1763	200	59.7667	13.4333
Reftele	0662	1293	57.1833	13.5833
Rejmyre	0562	862	58.8333	15.9167
Rengsjö	2183	256	61.3667	16.6000
Rentjärn	2418	200	65.0833	18.9000
Resö	1435	200	58.8000	11.1667
Riddarhyttan	1904	297	59.8000	15.5500
Riksgränsen	2584	200	68.4270	18.1257
Rimbo	0188	5346	59.7500	18.3667
Rimforsa	0513	2291	58.1362	15.6865
Ringarum	0563	585	58.3333	16.4500
Rinkaby	1290	748	55.9833	14.2667
Risögrund	2514	632	65.8000	23.2500
Robertsfors	2409	1939	64.1932	20.8481
Rockneby	0880	974	56.6926	16.3559
Roknäs	2581	1241	65.3500	21.2000
Rolfstorp	1383	595	57.1500	12.4500
Romakloster	0980	1347	57.5167	18.4500
Romelanda	1482	200	57.9167	12.0167
Ronneby	1081	12636	56.2100	15.2760
Rosenfors	0860	267	57.3667	15.8333
Rosersberg	0191	1833	59.5833	17.8833
Rossön	2313	319	63.9333	16.3500
Rosvik	2581	1857	65.4333	21.7000
Rottne	0780	2465	57.0167	14.9000
Rottneros	1766	393	59.8000	13.1167
Rundvik	2401	778	63.5333	19.4333
Runhällen	0331	200	60.0333	16.8167
Runmarö	0120	200	59.3196	18.7213
Rusksele	2481	221	64.8167	18.8833
Ryd	0763	1318	56.4667	14.6833
Rydaholm	0683	1477	56.9833	14.3000
Rydal	1463	459	57.5500	12.6833
Rydboholm	1490	966	57.6500	12.8833
Rydebäck	1283	6597	55.9667	12.7667
Rydsgård	1264	1521	55.4667	13.5833
Rydöbruk	1315	357	56.9500	13.1500
Ryssby	0781	744	56.8667	14.1667
Rätan	2326	200	62.4667	14.5500
Rättvik	2031	5369	60.8863	15.1179
Rävlanda	1401	1734	57.6500	12.5000
Råda	1783	339	60.0000	13.6000
Råneå	2580	1975	65.8548	22.2913
Rångedala	1490	452	57.7833	13.1167
Rånäs	0188	452	59.8000	18.2833
Råå	1283	200	56.0000	12.7333
Röbäck	2480	2493	63.8116	20.1833
Rödeby	1080	3473	56.2500	15.6000
Röfors	1860	200	58.9500	14.6167
Röke	1293	210	56.2333	13.5000
Rökå	2481	200	65.0500	18.7833
Rönninge	0128	200	59.2000	17.7333
Rönnäng	1419	1597	57.9333	11.5833
Rörbäcksnäs	2039	200	61.4167	13.0667
Rörvik	0684	557	57.2333	14.5667
Rörö	1407	253	57.7329	11.6332
Röstånga	1214	911	56.0000	13.2833
Sala	1981	13702	59.9199	16.6066
Salbohed	1981	245	59.9167	16.3167
Saltsjö-Boo	0182	200	59.3173	18.2550
Saltsjö-Duvnäs	0182	200	59.3000	18.2000
Saltsjöbaden	0182	9409	59.2833	18.3000
Sandared	1490	3640	57.7099	12.7924
Sandarne	2182	1844	61.2667	17.1667
Sandhamn	0120	200	59.2833	18.9167
Sandhem	0642	735	57.9833	13.7667
Sandhult	1490	703	57.7667	12.8167
Sandsjöfors	0682	200	57.5000	14.7833
Sandviken	2181	24827	60.6167	16.7667
Sandöverken	2282	200	62.9010	17.8605
Sangis	2514	487	65.8500	23.5000
Sankt Anna	0582	200	58.3500	16.7000
Sankt Ibb	1282	200	55.9167	12.6833
Sankt Olof	1291	679	55.6333	14.1333
Saxdalen	2085	618	60.1333	14.9667
Segeltorp	0126	200	59.2833	17.9333
Segersta	2183	330	61.2667	16.6333
Segmon	1764	426	59.2833	13.0167
Sennan	1380	394	56.7667	12.9833
Seskarö	2583	386	65.7500	23.7333
Sexdrega	1465	834	57.5833	13.1167
Sibbhult	1256	1337	56.2667	14.2000
Sidensjö	2284	386	63.3000	18.3000
Sigtuna	0191	10407	59.6173	17.7236
Sikfors	2581	200	65.5333	21.1667
Siljansnäs	2029	1297	60.7833	14.8500
Silverdalen	0860	642	57.5333	15.7333
Simlångsdalen	1380	692	56.7167	13.1167
Simrishamn	1291	6863	55.5565	14.3504
Sjulsmark	2581	340	65.5167	21.5000
Sjuntorp	1488	2218	58.2000	12.2167
Själevad	2284	200	63.3000	18.6000
Sjöbo	1265	8565	55.6314	13.7062
Sjömarken	1490	200	57.7153	12.8349
Sjötofta	1465	200	57.3500	13.2833
Sjötorp	1493	420	58.8333	13.9833
Sjövik	1441	1071	57.9167	12.3667
Skagersvik	1447	200	58.9667	14.1000
Skanör	1233	200	55.4167	12.8500
Skara	1495	11475	58.3866	13.4384
Skarpnäck	0180	200	59.2667	18.1167
Skattkärr	1780	1960	59.4167	13.6333
Skebobruk	0188	205	59.9667	18.6000
Skee	1486	774	58.9333	11.3167
Skelleftehamn	2482	3302	64.6833	21.2333
Skellefteå	2482	39146	64.7507	20.9528
Skene	1463	200	57.4833	12.6333
Skephult	1490	200	57.5333	12.8667
Skepplanda	1440	1821	57.9833	12.2000
Skeppshult	0662	360	57.1167	13.3500
Skillingaryd	0665	4261	57.4333	14.0833
Skillinge	1291	962	55.4667	14.2833
Skinnskatteberg	1904	2236	59.8303	15.6934
Skivarp	1264	1397	55.4167	13.5667
Skoghall	1761	14610	59.3232	13.4655
Skogstorp	0484	200	59.3333	16.4667
Skogås	0126	200	59.2167	18.1500
Skorped	2284	200	63.3833	17.9000
Skottorp	1381	609	56.4500	12.9500
Skruv	0761	485	56.7000	15.3500
Skultuna	1980	3226	59.7167	16.4167
Skummeslövsstrand	1381	200	56.4667	12.9167
Skurup	1264	9233	55.4784	13.5019
Skutskär	0319	6606	60.6410	17.4091
Skyttorp	0380	635	60.0833	17.7333
Skällinge	1383	644	57.1833	12.4667
Skälvik	0120	200	59.4481	18.6900
Skänninge	0586	3374	58.4000	15.0833
Skärblacka	0581	4068	58.5667	15.9000
Skärhamn	1419	3725	57.9866	11.5574
Skärholmen	0180	200	59.2755	17.9020
Skärplinge	0360	718	60.4667	17.7667
Skå	0125	200	59.3333	17.7333
Skånes Fagerhult	1381	200	56.3667	13.4833
Skåpafors	1460	322	59.0167	12.2667
Sköldinge	0483	553	59.0333	16.4333
Sköllersta	1861	1112	59.1500	15.3333
Sköndal	0180	200	59.2500	18.1167
Skövde	1496	40422	58.3912	13.8451
Slagnäs	2422	200	65.4583	18.0500
Slite	0980	1405	57.7046	18.8031
Slottsbron	1764	1068	59.3333	13.1000
Slussfors	2421	200	65.4333	16.2500
Slutarp	1499	200	58.0833	13.5167
Slöinge	1382	1077	56.8500	12.6833
Smedjebacken	2061	5190	60.1418	15.4142
Smedstorp	1270	415	55.5667	14.1167
Smygehamn	1287	1292	55.3333	13.3833
Smålandsstenar	0662	4504	57.1667	13.4000
Smögen	1427	200	58.3559	11.2241
Solberg	2463	200	63.7833	17.6333
Solberga	0682	376	57.7333	14.7500
Sollebrunn	1489	1400	58.0546	12.5333
Sollefteå	2283	8270	63.1667	17.2667
Sollenkroka Ö	0120	200	59.3499	18.7582
Sollentuna	0163	77624	59.4280	17.9509
Sollerön	2062	895	60.9167	14.6167
Solna	0184	85789	59.3600	18.0009
Sommen	0687	740	58.1333	14.9667
Sorsele	2422	1092	65.3440	17.8838
Sorunda	0192	1251	58.9820	17.9460
Sparreholm	0482	725	59.0667	16.8167
Sparsör	1490	200	57.8000	13.0000
Spekeröd	1415	227	58.0333	11.8667
Spånga	0180	200	59.3833	17.9167
Staffanstorp	1230	17838	55.6428	13.2064
Stallarholmen	0486	2141	59.3667	17.2000
Stavsjö	0480	234	56.8333	13.8000
Stavsnäs	0120	1898	59.2833	18.6833
Stehag	1285	1454	55.9000	13.3833
Stenhamra	0125	3743	59.3333	17.6667
Steningehöjden	0191	1467	59.6083	17.8583
Stenkullen	1441	200	57.8000	12.3167
Stensele	2421	445	65.0833	17.1667
Stenstorp	1499	1823	58.2667	13.7167
Stenungsund	1415	14381	58.0705	11.8181
Stigen	1439	426	58.5667	12.0667
Stigtomta	0480	1937	58.8000	16.7833
Stjärnhov	0461	604	59.0833	17.0000
Stjärnsund	2083	200	60.4333	16.2000
Stoby	1293	750	56.1833	13.8167
Stocka	2132	328	61.8936	17.3367
Stockamöllan	1285	294	55.9500	13.3667
Stockaryd	0684	1031	57.3167	14.5833
Stockholm	0180	1652895	59.3326	18.0649
Stockholm-Globen	0180	200	59.3332	18.0519
Stocksund	0162	200	59.3833	18.0667
Stora Höga	1415	3122	58.0167	11.8333
Stora Levene	1470	773	58.3333	12.9167
Stora Mellösa	1880	829	59.2167	15.5000
Stora Skedvi	2082	200	60.4000	15.8000
Stora Sundby	0484	200	59.3667	16.4917
Stora Vika	0192	697	58.9333	17.8000
Storebro	0884	936	57.5833	15.8500
Storfors	1760	1904	59.5318	14.2720
Storlien	2321	200	63.3167	12.1000
Storseleby	2462	200	64.8167	16.8167
Storuman	2421	2080	65.0959	17.1173
Storvik	2181	2252	60.5833	16.5333
Storvreta	0380	6211	59.9631	17.6159
Storå	1885	1847	59.7167	15.1333
Strängnäs	0486	15369	59.3774	17.0312
Stråssa	1885	263	59.7500	15.2167
Stråtjära	2183	200	61.1667	16.8500
Strömsbruk	2132	368	61.8703	17.3156
Strömsholm	1961	700	59.5333	16.2500
Strömsnäsbruk	0767	2216	56.5500	13.7167
Strömstad	1486	7836	58.9394	11.1712
Strömsund	2313	3590	63.8521	15.5558
Strövelstorp	1292	1449	56.1500	12.8167
Stugun	2303	574	63.0666	16.3625
Sturefors	0580	3438	58.3833	15.6633
Sturkö	1080	1372	56.0833	15.7000
Ställdalen	1864	423	59.9333	14.9333
Stöde	2281	1276	62.4167	16.6000
Stöllet	1737	200	60.4333	13.2667
Sundbyberg	0183	56274	59.3613	17.9711
Sundsbruk	2281	200	62.4581	17.3489
Sundsvall	2281	99048	62.3913	17.3063
Sunhultsbrunn	0604	200	57.9333	14.9000
Sunne	1766	5138	59.8376	13.1430
Sunnemo	1783	288	59.8833	13.7167
Surahammar	1907	6316	59.7072	16.2219
Surte	1440	6530	57.8167	12.0167
Svalöv	1214	4250	55.9134	13.1076
Svanavattnet	2425	200	64.1000	16.6333
Svaneholm	1490	200	57.6167	12.8167
Svanesund	1421	2014	58.1333	11.8333
Svanskog	1785	454	59.1833	12.5500
Svappavaara	2584	392	67.4557	22.1795
Svartsjö	0125	200	59.3667	17.7333
Svartå	1862	439	59.1333	14.5167
Svedala	1263	13433	55.5079	13.2351
Sveg	2361	2448	62.0341	14.3658
Svenljunga	1465	3717	57.4955	13.1108
Svensbyn	2581	321	65.3000	21.2333
Svenshögen	1415	395	58.1500	11.9333
Svenstavik	2326	974	62.7667	14.4353
Svängsta	1082	1924	56.2667	14.7667
Svärdsjö	2080	1318	60.7500	15.9167
Sysslebäck	1737	402	60.7500	12.8667
Säffle	1785	8823	59.1323	12.9289
Sälen	2023	946	61.1500	13.2667
Särö	1384	200	57.5000	11.9333
Säter	2082	4812	60.3478	15.7505
Sätila	1463	1493	57.5417	12.4343
Sävar	2480	3055	63.9038	20.5501
Säve	1480	771	57.8000	11.9167
Sävedalen	1402	200	57.7312	12.0699
Sävsjö	0684	5581	57.4033	14.6624
Sävsjöström	0760	200	57.0000	15.4000
Sågmyra	2080	611	60.7167	15.2833
Såtenäs	1494	200	58.4333	12.6833
Söderala	2182	200	61.2833	16.9667
Söderbärke	2061	1032	60.0833	15.5500
Söderfors	0360	1646	60.3833	17.2333
Söderhamn	2182	12038	61.3037	17.0592
Söderköping	0582	7617	58.4806	16.3222
Södertälje	0181	78377	59.1955	17.6252
Söderåkra	0834	940	56.4500	16.0667
Södra Sandby	1281	6886	55.7167	13.3333
Södra Sunderbyn	2580	3009	65.6667	21.9500
Södra Vi	0884	1117	57.7500	15.8000
Sölvesborg	1083	8744	56.0521	14.5753
Sörberge	2262	200	62.5100	17.3714
Söråker	2262	2408	62.5050	17.5133
Sösdala	1293	1835	56.0333	13.6667
Taberg	0680	5010	57.6833	14.0833
Tallåsen	2161	578	61.8667	16.0167
Tandsbyn	2380	427	63.0000	14.7500
Tanumshede	1435	2012	58.7238	11.3259
Tavelsjö	2480	484	64.0333	20.1000
Teckomatorp	1214	1991	55.8667	13.0833
Tenhult	0680	3053	57.7167	14.3167
Tibro	1472	8588	58.4245	14.1616
Tidaholm	1498	8285	58.1804	13.9582
Tidan	1496	1000	58.5667	14.0000
Tierp	0360	6346	60.3427	17.5181
Timmele	1491	785	57.8500	13.4333
Timmernabben	0861	1423	56.9667	16.4333
Timmersdala	1496	955	58.5333	13.7500
Timrå	2262	17521	62.4870	17.3257
Tingsryd	0763	3164	56.5247	14.9790
Tingstäde	0980	249	57.7333	18.5833
Tjällmo	0583	487	58.7167	15.3500
Tjörnarp	1267	875	56.0000	13.6167
Tobo	0360	619	60.2667	17.6500
Toftbyn	2080	281	60.7167	15.5625
Tollarp	1290	3385	55.9333	13.9833
Tollered	1441	882	57.8167	12.4167
Tomelilla	1270	7262	55.5429	13.9546
Tommarp	1291	200	55.5544	14.2947
Tomteboda	0184	200	59.3354	18.0585
Torekov	1278	1044	56.4250	12.6333
Torestorp	1463	412	57.3833	12.6667
Torhamn	1080	544	56.1000	15.8333
Tormestorp	1293	1097	56.1167	13.7333
Torna-Hällestad	1281	200	55.6333	13.4000
Torpsbruk	0764	308	57.0333	14.5833
Torpshammar	2260	438	62.4833	16.3333
Torsby	1737	4446	60.1353	13.0082
Torshälla	0484	9167	59.4167	16.4667
Torslanda	1480	200	57.7243	11.7701
Torsåker	2104	867	60.5167	16.4833
Torsås	0834	1967	56.4125	15.9984
Torsö	1493	200	56.0000	14.6500
Torup	1315	1268	56.9667	13.0833
Tostared	1463	200	57.4667	12.3667
Totebo	0883	223	57.6333	16.2000
Tranemo	1452	3455	57.4833	13.3500
Transtrand	2023	367	61.0833	13.3167
Tranås	0687	14611	58.0372	14.9782
Traryd	0767	659	56.5833	13.7833
Trehörningsjö	2401	200	63.7000	18.8000
Trekanten	0880	1559	56.7000	16.1167
Trelleborg	1287	31366	55.3751	13.1569
Trensum	1082	200	56.2000	14.9500
Trollhättan	1488	50069	58.2837	12.2886
Trosa	0488	7540	58.8962	17.5481
Trädet	1491	260	57.9833	13.5333
Träslövsläge	1383	200	57.0658	12.2828
Trångsund	0126	200	59.2333	18.1333
Trångsviken	2309	273	63.3333	14.0167
Tråvad	1470	490	58.2500	13.0833
Trönödal	2182	200	61.3248	17.0192
Tullinge	0127	200	59.2000	17.8833
Tumba	0127	46893	59.1986	17.8332
Tun	1494	200	58.4333	12.7333
Tungelsta	0136	200	59.1000	18.0331
Tving	1080	545	56.3000	15.4500
Tvärred	1491	200	57.8065	13.3973
Tvärålund	2404	337	64.1000	19.6833
Tvååker	1383	3265	57.0500	12.4000
Tygelsjö	1280	4126	55.5167	13.0000
Tyresö	0138	49179	59.2333	18.3000
Tyringe	1293	4752	56.1667	13.5833
Tystberga	0480	890	58.8500	17.2331
Täby	0160	77744	59.4439	18.0687
Tällberg	2029	933	60.8167	15.0000
Tänndalen	2361	200	62.5437	12.3327
Tännäs	2361	200	62.4415	12.6755
Tärendö	2521	200	67.1514	22.6368
Tärnaby	2421	415	65.7115	15.2584
Tärnsjö	0331	1179	60.1500	16.9333
Tävelsås	0780	382	56.7667	14.8167
Tågarp	1214	484	55.9333	12.9500
Töcksfors	1765	1292	59.5082	11.8443
Töllsjö	1443	428	57.8000	12.6333
Töre	2514	993	65.9124	22.6513
Töreboda	1473	4731	58.7074	14.1260
Tösse	1492	319	58.9667	12.6167
Ucklum	1415	761	58.0833	11.9500
Uddebo	1452	269	57.4667	13.2500
Uddeholm	1783	563	60.0167	13.6167
Uddevalla	1485	35639	58.3478	11.9424
Ullared	1382	879	57.1333	12.7167
Ullatti	2523	200	67.0167	21.8167
Ullånger	2282	745	62.9889	18.3611
Ulricehamn	1491	11794	57.7916	13.4142
Ulrika	0580	200	58.1167	15.4333
Ulvöhamn	2284	200	63.0167	18.6500
Umeå	2480	94243	63.8284	20.2597
Undenäs	1446	207	58.6500	14.4167
Undersåker	2321	645	63.3333	13.2667
Undrom	2283	200	63.1167	17.7333
